matched_regency,job_volume
Kota Jakarta Pusat,4837.0
Kota Surabaya,1734.0
Kota Bandung,1633.0
Semarang,1220.0
Kota Yogyakarta,886.0
Tangerang,576.0
Kota Bogor,533.0
Sleman,422.0
Sidoarjo,390.0
Bekasi,371.0
Kota Surakarta,369.0
Kota Cirebon,216.0
Bogor,196.0
Sukoharjo,173.0
Banyumas,157.0
Gresik,155.0
Bantul,140.0
Bandung Barat,138.0
Kota Jakarta Selatan,132.0
Kota Tangerang Selatan,127.0
Kota Bekasi,125.0
Tegal,122.0
Kota Jakarta Barat,120.0
Kota Kediri,118.0
Purwakarta,106.0
Magelang,105.0
Serang,100.0
Sukabumi,97.0
Kendal,96.0
Jember,90.0
Kota Jakarta Utara,86.0
Subang,85.0
Tasikmalaya,84.0
Karanganyar,80.0
Klaten,79.0
Banyuwangi,78.0
Kota Depok,76.0
Kota Jakarta Timur,76.0
Kota Cimahi,74.0
Boyolali,73.0
Demak,73.0
Kota Salatiga,63.0
Madiun,63.0
Brebes,62.0
Kudus,62.0
Jepara,54.0
Karawang,50.0
Garut,50.0
Pati,49.0
Cilacap,48.0
Indramayu,48.0
Sragen,47.0
Pemalang,45.0
Mojokerto,42.0
Kota Blitar,40.0
Lamongan,40.0
Majalengka,39.0
Cianjur,38.0
Grobogan,35.0
Kota Batu,34.0
Tuban,33.0
Kota Cilegon,32.0
Ngawi,31.0
Bandung,30.0
Probolinggo,29.0
Nganjuk,28.0
Kebumen,28.0
Banjarnegara,26.0
Bojonegoro,26.0
Sumedang,24.0
Wonogiri,24.0
Situbondo,23.0
Temanggung,22.0
Purworejo,22.0
Purbalingga,22.0
Tulungagung,22.0
Blora,20.0
Batang,19.0
Rembang,18.0
Wonosobo,16.0
Kuningan,15.0
Lumajang,15.0
Pangandaran,13.0
Kota Banjar,10.0
Bangkalan,10.0
Ciamis,9.0
Bondowoso,8.0
Kulon Progo,8.0
Trenggalek,7.0
Ponorogo,7.0
Pandeglang,6.0
Malang,2.0
Pekalongan,2.0
Magetan,1.0
Kota Malang,0.0
Administrasi Kepulauan Seribu,0.0
Kota Magelang,0.0
Kota Madiun,0.0
Kediri,0.0
Jombang,0.0
Gunungkidul,0.0
Blitar,0.0
Cirebon,0.0
Pamekasan,0.0
Pacitan,0.0
Lebak,0.0
Kota Probolinggo,0.0
Kota Pasuruan,0.0
Kota Tangerang,0.0
Kota Pekalongan,0.0
Kota Mojokerto,0.0
Kota Sukabumi,0.0
Kota Serang,0.0
Kota Semarang,0.0
Kota Tasikmalaya,0.0
Kota Tegal,0.0
Pasuruan,0.0
Sampang,0.0
Sumenep,0.0
